300,13,c,d,e,f,g,h,i,j,k,l,m,n
-0.016046093,-0.004456588,0.068342993,-0.012971065,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.015377606
-0.015377606,-0.004573188,0.065386369,-0.010382103,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.014737748
-0.014737748,-0.004664876,0.062615029,-0.007986621,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.014124731
-0.014124731,-0.004733519,0.06001635,-0.005771104,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.013536884
-0.013536884,-0.004780856,0.057578812,-0.003723219,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.012972652
-0.012972652,-0.004808504,0.055291649,-0.001831441,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.012430584
-0.012430584,-0.004817969,0.053144688,-8.4893E-05,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.011909324
-0.011909324,-0.004810651,0.051128395,0.001526633,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.011407609
-0.011407609,-0.004787856,0.0492341,0.003012403,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.010924262
-0.010924262,-0.004750794,0.047453687,0.004381086,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.010458182
-0.010458182,-0.004700597,0.045779425,0.005640926,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.010008343
-0.010008343,-0.004638313,0.04420424,0.006799532,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.009573789
-0.009573789,-0.00456492,0.042721519,0.00786395,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.009153625
-0.009153625,-0.004481326,0.041325071,0.008840708,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.008747019
-0.008747019,-0.004388377,0.040009184,0.009735983,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.008353191
-0.008353191,-0.004286859,0.038768485,0.010555481,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.007971415
-0.007971415,-0.004177503,0.037597978,0.011304513,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.007601013
-0.007601013,-0.004060987,0.03649301,0.011988046,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.007241351
-0.007241351,-0.003937945,0.035449255,0.012610678,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.006891837
-0.006891837,-0.003808962,0.034462663,0.013176715,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.00655192
-0.00655192,-0.003674586,0.03352947,0.013690157,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.006221082
-0.006221082,-0.003535322,0.032646163,0.014154736,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.005898841
-0.005898841,-0.003391643,0.031809466,0.014573929,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.005584747
-0.005584747,-0.003243985,0.031016328,0.014950969,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.005278378
-0.005278378,-0.003092754,0.030263909,0.015288865,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.00497934
